50,,,,,,,,,,1 to 5,5 to 10,10 to 15,15 to 20,100,,,,,,,,1 to 5,5 to 10,10 to 15,15 to 20,,500,,,,,,,
Simulation,Clust Nr,ARI, AMI, Hom, Com, VM, CHS, DBS, SS,,,,,ARI, AMI, Hom, Com, VM, CHS, DBS, SS,,,,,,ARI, AMI, Hom, Com, VM, CHS, DBS, SS
16,9,0.58,0.78,0.87,0.71,0.78,5423.79,1.19,0.42,0,0,0,0,0.76,0.79,0.82,0.76,0.79,5717.72,0.79,0.35,0,0,0,0,,0.36,0.63,0.79,0.53,0.64,5066.41,0.91,0.25
16,9,0.6,0.73,0.75,0.7,0.73,7637.1,0.85,0.34,0,0,0,0,0.6,0.73,0.75,0.7,0.73,7637.1,0.85,0.34,0,0,0,0,,0.6,0.73,0.75,0.7,0.73,7637.1,0.85,0.34
16,9,-0.02,0.05,0.12,0.01,0.05,-2213.31,0.34,0.08,0,1,0,0,0.15,0.06,0.07,0.05,0.06,-1919.38,-0.07,0.02,0,1,0,0,,-0.25,-0.09,0.04,-0.17,-0.09,-2570.69,0.05,-0.09
17,10,0.65,0.78,0.69,0.91,0.78,107909.6,0.63,0.53,0,0,0,0,0.76,0.83,0.76,0.9,0.83,68418.58,0.6,0.61,0,0,0,0,,0.71,0.84,0.9,0.79,0.84,16767.4,0.67,0.47
17,10,0.72,0.83,0.77,0.89,0.83,33568.24,0.88,0.38,0,0,0,0,0.72,0.83,0.77,0.89,0.83,33568.24,0.88,0.38,0,0,0,0,,0.72,0.83,0.77,0.89,0.83,33568.24,0.88,0.38
17,10,-0.07,-0.04,-0.08,0.02,-0.04,74341.36,-0.24,0.15,0,0,0,0,0.03,0,-0.01,0.01,0,34850.34,-0.28,0.23,0,0,0,0,,-0.01,0.02,0.13,-0.1,0.02,-16800.85,-0.21,0.09
18,8,0.62,0.77,0.85,0.7,0.77,11204.5,0.99,0.4,0,0,0,0,0.78,0.83,0.92,0.76,0.83,5700.8,0.71,0.4,0,0,0,0,,0.47,0.73,0.89,0.61,0.73,3212.54,0.89,0.29
18,8,0.71,0.78,0.75,0.82,0.78,10400.28,0.79,0.33,0,0,0,0,0.71,0.78,0.75,0.82,0.78,10400.28,0.79,0.33,0,0,0,0,,0.71,0.78,0.75,0.82,0.78,10400.28,0.79,0.33
18,8,-0.09,-0.01,0.11,-0.12,-0.01,804.22,0.2,0.07,0,1,0,0,0.07,0.05,0.17,-0.06,0.05,-4699.47,-0.09,0.07,0,1,0,0,,-0.23,-0.06,0.14,-0.21,-0.06,-7187.74,0.1,-0.04
19,19,0.27,0.64,0.53,0.83,0.65,7069.05,2.75,0.11,0,0,0,0,0.55,0.79,0.75,0.83,0.79,11223.53,0.86,0.36,0,0,0,0,,0.53,0.78,0.8,0.77,0.78,7436.72,0.89,0.36
19,19,0.5,0.73,0.69,0.78,0.73,10437.19,1.35,0.19,0,0,0,0,0.5,0.73,0.69,0.78,0.73,10437.19,1.35,0.19,0,0,0,0,,0.5,0.73,0.69,0.78,0.73,10437.19,1.35,0.19
19,19,-0.23,-0.09,-0.16,0.05,-0.09,-3368.14,1.4,-0.08,0,0,0,1,0.05,0.06,0.06,0.05,0.06,786.34,-0.48,0.17,0,0,0,1,,0.03,0.05,0.11,-0.01,0.05,-3000.47,-0.45,0.17
20,15,0.58,0.77,0.75,0.79,0.77,14118.38,0.78,0.42,0,0,0,0,0.61,0.8,0.83,0.77,0.8,8384.32,1.47,0.37,0,0,0,0,,0.9,0.88,0.9,0.87,0.88,22940.98,0.91,0.53
20,15,0.55,0.73,0.7,0.76,0.73,15504.48,2.24,0.29,0,0,0,0,0.55,0.73,0.7,0.76,0.73,15504.48,2.24,0.29,0,0,0,0,,0.55,0.73,0.7,0.76,0.73,15504.48,2.24,0.29
20,15,0.03,0.04,0.05,0.03,0.04,-1386.1,-1.45,0.12,0,0,0,1,0.06,0.07,0.13,0.01,0.07,-7120.15,-0.76,0.07,0,0,0,1,,0.35,0.15,0.2,0.11,0.15,7436.51,-1.33,0.24
21,5,0.48,0.6,0.76,0.5,0.61,3876.16,0.89,0.21,0,0,0,0,0.98,0.92,0.96,0.89,0.92,15249.68,0.32,0.65,0,0,0,0,,0.72,0.7,0.92,0.57,0.7,2687.81,0.87,0.51
21,5,0.93,0.84,0.92,0.78,0.84,5044.32,0.48,0.54,0,0,0,0,0.93,0.84,0.92,0.78,0.84,5044.32,0.48,0.54,0,0,0,0,,0.93,0.84,0.92,0.78,0.84,5044.32,0.48,0.54
21,5,-0.45,-0.24,-0.16,-0.27,-0.24,-1168.16,0.41,-0.33,1,0,0,0,0.05,0.08,0.05,0.11,0.08,10205.36,-0.16,0.1,1,0,0,0,,-0.21,-0.14,0,-0.21,-0.14,-2356.5,0.38,-0.04
22,7,0.56,0.72,0.85,0.62,0.72,10785.5,0.81,0.31,0,0,0,0,0.56,0.7,0.83,0.6,0.7,8670.78,0.92,0.26,0,0,0,0,,0.37,0.66,0.88,0.53,0.66,3905.23,0.88,0.28
22,7,0.61,0.76,0.82,0.72,0.76,15019.29,0.73,0.44,0,0,0,0,0.61,0.76,0.82,0.72,0.76,15019.29,0.73,0.44,0,0,0,0,,0.61,0.76,0.82,0.72,0.76,15019.29,0.73,0.44
22,7,-0.06,-0.05,0.03,-0.1,-0.05,-4233.79,0.08,-0.13,0,1,0,0,-0.05,-0.07,0.01,-0.12,-0.07,-6348.52,0.19,-0.18,0,1,0,0,,-0.25,-0.1,0.07,-0.19,-0.1,-11114.06,0.15,-0.16
23,18,0.6,0.76,0.71,0.82,0.76,18392.46,0.98,0.39,0,0,0,0,0.62,0.78,0.76,0.8,0.78,10897.41,1.36,0.33,0,0,0,0,,0.75,0.82,0.81,0.84,0.82,12203.61,1.02,0.4
23,18,0.54,0.71,0.65,0.78,0.71,15306.63,1.91,0.22,0,0,0,0,0.54,0.71,0.65,0.78,0.71,15306.63,1.91,0.22,0,0,0,0,,0.54,0.71,0.65,0.78,0.71,15306.63,1.91,0.22
23,18,0.06,0.05,0.06,0.03,0.05,3085.83,-0.94,0.17,0,0,0,1,0.08,0.07,0.11,0.02,0.07,-4409.22,-0.56,0.11,0,0,0,1,,0.21,0.11,0.16,0.06,0.11,-3103.02,-0.89,0.18
24,7,0.82,0.81,0.9,0.74,0.81,9988.41,0.6,0.49,0,0,0,0,0.45,0.71,0.86,0.6,0.71,5227.09,1.22,0.29,0,0,0,0,,0.49,0.67,0.84,0.56,0.68,2945.45,0.83,0.28
24,7,0.65,0.78,0.71,0.87,0.78,9159.7,0.67,0.41,0,0,0,0,0.65,0.78,0.71,0.87,0.78,9159.7,0.67,0.41,0,0,0,0,,0.65,0.78,0.71,0.87,0.78,9159.7,0.67,0.41
